"Record",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Misconfiguration Discovery with Principal Component Analysis for Cloud-Native Services","A. A. Pranata; O. Barais; J. Bourcier; L. Noirie","Inria, Irisa, Univ Rennes 1, Rennes, France; Inria, Irisa, Univ Rennes 1, Rennes, France; Inria, Irisa, Univ Rennes 1, Rennes, France; Nokia Bell Labs, Nozay, France",2020 IEEE/ACM 13th International Conference on Utility and Cloud Computing (UCC),"30 Dec 2020","2020","","","269","278","Cloud applications and services have significantly increased the importance of system and service configuration activities. These activities include updating (i) these services, (ii) their dependencies on third parties, (iii) their configurations, (iv) the configuration of the execution environment, (v) network configurations. The high frequency of updates results in significant configuration complexity that can lead to failures or performance drops. To mitigate these risks, service providers extensively rely on testing techniques, such as metamorphic testing, to detect these failures before moving to production. However, the development and maintenance of these tests are costly, especially the oracle, which must determine whether a system's performance remains within acceptable boundaries. This paper explores the use of a learning method called Principal Component Analysis (PCA) to learn about acceptable performance metrics on cloudnative services and identify a metamorphic relationship between the nominal service behavior and the value of these metrics. We investigate the following research question: Is it possible to combine the metamorphic testing technique with learning methods on service monitoring data to detect error-prone reconfigurations before moving to production? We remove the developers' burden to define a specific oracle in detecting these configuration issues. For validation, we applied this proposal on a distributed media streaming application whose authentication was managed by an external identity and access management services. This application illustrates both the heterogeneity of the technologies used to build this type of service and its large configuration space. Our proposal demonstrated the ability to identify error-prone reconfigurations using PCA.","","978-0-7381-2394-3","10.1109/UCC48980.2020.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9302829","Reconfigurations;Metamorphic testing;Principal component analysis;Cloud-native services","Principal component analysis;Testing;Measurement;Streaming media;Servers;Complexity theory;Cloud computing","","3","","25","IEEE","30 Dec 2020","","","IEEE","IEEE Conferences"
"Accelerating Cloud-Native Databases with Distributed PMem Stores","J. Sun; H. Ma; L. Zhang; H. Liu; H. Shi; S. Luo; K. Wu; K. Bruhwiler; C. Zhu; Y. Nie; J. Chen; L. Zhang; Y. Liang","NA; NA; NA; NA; ByteDance US Infrastructure System Lab, ByteDance Inc.; ByteDance US Infrastructure System Lab, ByteDance Inc.; ByteDance US Infrastructure System Lab, ByteDance Inc.; NA; NA; NA; ByteDance US Infrastructure System Lab, ByteDance Inc.; NA; NA",2023 IEEE 39th International Conference on Data Engineering (ICDE),"26 Jul 2023","2023","","","3043","3057","Relational databases have gone through a phase of architectural transition from a monolithic to a distributed architecture to take full advantage of cloud technology. These distributed databases can leverage remote storage to maintain larger amounts of data than monolithic databases at the cost of increased latency. At ByteDance, we have built a distributed database called veDB based on the popular compute-storage separation architecture, however we have observed the system is unable to provide both low latency and high throughput required by some business critical applications, such as batched order processing.In this paper we present our novel approaches to tackle this problem. We have modified our system’s storage to utilize persistent memory (PMem) coupled with a remote direct memory access (RDMA) network to reduce read/write latency and increase the throughput. We also propose a query push-down framework to push partial computations to the PMem storage layer to accelerate analytical queries and reduce the impact of the transaction workload in the computation layer. Our experiments show that our methods improve the throughput by up to 1.5× and reduce latency by up to 20× for standard benchmarks and real-world applications.","2375-026X","979-8-3503-2227-9","10.1109/ICDE55515.2023.00233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10184639","distributed database;cloud-native database;PMem;RDMA;cloud computing;query push-down","Technological innovation;Query processing;Distributed databases;Computer architecture;Relational databases;Benchmark testing;Throughput","","1","","83","IEEE","26 Jul 2023","","","IEEE","IEEE Conferences"
"QoS-aware SFC Migration Scheduling Based on Encoder-Decoder RNN for Cloud-Native Platform","T. Hirayama; M. Jibiki; T. Miyazawa; V. P. Kafle",National Institute of Information and Communications Technology; National Institute of Information and Communications Technology; National Institute of Information and Communications Technology; National Institute of Information and Communications Technology,2022 18th International Conference on Network and Service Management (CNSM),"2 Dec 2022","2022","","","359","363","Service function chaining (SFC) provides the plat-form for flexible resource management by dynamically allocating resources to virtual and/or container network functions (VNFs/CNFs). To meet the quality of service (QoS) requirements while facing increasing resource demands, the sys-tem will require the migration of the VNFs/CNFs from the current server to the others that offer sufficient resources. In this study, we formulate an integer linear programming (ILP) based optimization model to solve the function migration scheduling problem so that it meets QoS requirements of each service function (SF) chain. The remarkable points of this work are the following two points. The one is that we consider latency between VNFs/CNFs belonging to an SF chain, avoiding overhead due to their unnecessary migration and resource shortage. And the other is that we consider the case in which each VNF/CNF must be to be deployed strictly to a designated virtual machine (or container). To reduce complexity, we apply an encoder-decoder recurrent neural network (ED-RNN) as a machine learning model to the function migration scheduling problem. Performance evaluations show that the ED-RNN based approach achieves a similar performance as the ILP, while adding the benefits of very low complexity.","2165-963X","978-3-903176-51-5","10.23919/CNSM55787.2022.9964715","Ministry of Internal Affairs and Communications; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964715","Service function chaining (SFC);Integer linear programming (ILP);Machine learning (ML);Recurrent neural network (RNN);Cloud-native platform","Cloud computing;Processor scheduling;Service function chaining;Quality of service;Containers;Dynamic scheduling;Virtual machining","","","","7","","2 Dec 2022","","","IEEE","IEEE Conferences"
"Towards High-Performance Data Loading in Cloud-Native Deep Learning Systems","Z. Kang; Z. Min; S. Zhou; Y. D. Barve; A. Gokhale","Vanderbilt University, Nashville, TN, USA; Vanderbilt University, Nashville, TN, USA; Vanderbilt University, Nashville, TN, USA; Vanderbilt University, Nashville, TN, USA; Vanderbilt University, Nashville, TN, USA",2024 16th International Conference on COMmunication Systems & NETworkS (COMSNETS),"16 Feb 2024","2024","","","361","369","This paper focuses on the critical role of data locality and data loading optimizations for serverless Deep Learning (DL) platforms. With the rapid advancements in GPU computational capabilities, I/O bottlenecks at the CPU are increasingly leading to data stalls. To address this issue, we present a novel serverless DL platform, CNDLSys, which is equipped with a cooperative job schedule and data placement (CSP) strategy that ensures maximal local data retrievals for DL applications. Furthermore, we introduce a runtime-aware online data merging and loading method to boost data loading throughput by efficiently eliminating I/O bottlenecks when reading a large number of small files. The experimental results conducted on large-scale, real-world GPU cluster workload traces underscore the efficacy of our CSP strategy. CNDLSys significantly improves the local data hit rate by up to 16.5% compared to Bin-packing algorithms. Moreover, its data merging and loading techniques show notable enhancements in throughput when the data and the DL application reside on the same node, achieving an improvement of up to 48.89% and 3.05% for the ImageNet and LibriSpeech datasets, respectively. In scenarios where data is located on remote nodes, our approach boosts throughput by as much as 62.41% and 8.91%, respectively.","2155-2509","979-8-3503-8311-9","10.1109/COMSNETS59351.2024.10427257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10427257","Deep Learning Training;Cloud-native System;Data Management","Deep learning;Schedules;Loading;Merging;Graphics processing units;Throughput;Task analysis","","","","24","IEEE","16 Feb 2024","","","IEEE","IEEE Conferences"
"A time-sensitive cloud-native network based on eBPF","J. Wen; J. Ge; Z. Zhang; H. Li; Y. E; B. Wu","School of Cyber Security, University of Chinese Academy of Sciences; School of Cyber Security, University of Chinese Academy of Sciences; School of Cyber Security, University of Chinese Academy of Sciences; Institute of Information Engineering, Chinese Academy of Sciences; Institute of Information Engineering, Chinese Academy of Sciences; Institute of Information Engineering, Chinese Academy of Sciences",2024 27th International Conference on Computer Supported Cooperative Work in Design (CSCWD),"10 Jul 2024","2024","","","2577","2582","The evolution of cloud computing and microservices is gradually supplanting traditional network deployment schemes within data centers. As applications deploy substantial computing resources in data centers, a fierce competition for network services ensues, marked by stringent quality requirements. Simultaneously, safeguarding the time sensitivity of the main flow becomes imperative. However, prevailing container network solutions primarily ensure service quality through scheduling and orchestration, neglecting the influence of computing resources on network service quality under intense resource competition. Consequently, our focus revolves around exploring the preservation of time-sensitive attributes of primary service network links, aiming to enhance the service quality of container networks in highly competitive computing resource environments. This paper introduces a novel container network solution designed to meet the quality of service requirements for time-sensitive data in container networks. Implemented on the Kubernetes platform, this solution establishes an underlay network structure based on Cilium for transmitting network packets requiring performance guarantees and exhibiting time sensitivity. Utilizing eBPF programs with adjusted CPU affinity for packet forwarding, the solution records packets necessitating quality of service guarantees. Network service quality is ensured through algorithms such as Multiqueue Priority, Earliest TxTime First, Enhancements for Scheduled Traffic, etc. The network packets requiring performance guarantees and time sensitivity refer to the TSN (Time-Sensitive Networking) standard. To assess the solution’s effectiveness, we deployed Kubernetes on two directly connected physical servers. Measurements were conducted in scenarios of both idle and highly competitive computing resources, evaluating bandwidth, latency, and jitter of container access packets across different hosts. The results confirm a noteworthy enhancement in container network service quality under highly competitive computing resource environments.","2768-1904","979-8-3503-4918-4","10.1109/CSCWD61410.2024.10580477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10580477","container;kubernetes;cloud-native;network QoS;eBPF","Data centers;Sensitivity;Processor scheduling;Federated learning;Microservice architectures;Quality of service;Containers","","","","18","IEEE","10 Jul 2024","","","IEEE","IEEE Conferences"
"Design and Validation of an Open Source Cloud Native Mobile Network","N. Apostolakis; M. Gramaglia; P. Serrano","IMDEA Networks Institute, Spain; University Carlos III of Madrid, Spain; University Carlos III of Madrid, Spain",IEEE Communications Magazine,"11 Nov 2022","2022","60","11","66","72","Network technologies are embracing the cloud-native paradigm, following the current best practices in cloud computing. Cloud-native technologies might be applied to different types of network functions in a mobile network, but they are particularly relevant nowadays for core network functions, as the recent standard introduces the service-based architecture that matches modern cloud-native technologies such as Docker and Kubernetes. In parallel, a number of open source software initiatives already provide researchers and practitioners with usable software that implements the key functionality of a mobile network (for both LTE and 5G). These software solutions, however, are monolithic and not integrated into state-of-the-art cloud-native frameworks. In this article, we fill this gap by describing the implementation of a cloud-native mobile network, which supports channel emulation and provides an affordable and scalable way of testing orchestration algorithms with standardized VIM interfaces. Our experimental evaluation shows the applicability of our solution, which is released as open source and illustrates its flexibility.","1558-1896","","10.1109/MCOM.003.2200195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9877928","","Cloud computing;5G mobile communication;Monitoring;Hardware;Emulation;Symbols;Virtualization;Open source software;Best practices","","6","","15","IEEE","5 Sep 2022","","","IEEE","IEEE Magazines"
"Cloud-Aware Generative Network: Removing Cloud From Optical Remote Sensing Images","L. Sun; Y. Zhang; X. Chang; Y. Wang; J. Xu","Image Processing Department, Key Laboratory of Airborne Optical Imaging and Measurement, Chinese Academy of Sciences, Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, China; State Key Laboratory of Applied Optics, Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, China; State Key Laboratory of Applied Optics, Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, China; Image Processing Department, Key Laboratory of Airborne Optical Imaging and Measurement, Chinese Academy of Sciences, Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, China; State Key Laboratory of Applied Optics, Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, China",IEEE Geoscience and Remote Sensing Letters,"25 Mar 2020","2020","17","4","691","695","In the optical remote sensing and earth observation fields, clouds severely obscure the land’s visibility and degrade the image. In recent years, there have been many excellent efforts to mitigate the effects of cloud cover. However, it has been found that there will be some blurs in the area if a single degraded image is restored by autoencoder-based methods. This letter focuses on removing clouds from single optical remote sensing images by autoencoder-based methods without multitemporal information while at the same time mitigating blurs caused by missing information. Therefore, we propose a novel cloud removal method that combines image inpainting and image denoising, called the Cloud-Aware Generative Network (CAGN). The CAGN consists of two stages: the first stage is a recurrent convolution network for potential cloud region detection and the second is an autoencoder for cloud removal. The method uses a side-guided method that adds attention mechanisms in the first stage to assist in predicting the mask. Furthermore, to update the mask adaptively for restoring degraded image areas greedily, the method embeds partial convolution in the autoencoder to condition the convolution calculation of pixels in the regions of thick clouds at different layers. Extensive experiments demonstrate clearly that CAGN can easily achieve a considerable increase in the peak signal-to-noise ratio (PSNR) and the structural similarity index (SSIM) compared with a competitive baseline model.","1558-0571","","10.1109/LGRS.2019.2928840","Chinese Academy of Sciences(grant numbers:2016201); National Defense Science and Technology Innovation Zone(grant numbers:18-H863-00-TS-002-018-01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8884095","Attention mechanism;cloud detection;cloud removal;generative network;remote sensing","Convolution;Remote sensing;Optical imaging;Optical sensors;Image reconstruction;Training","","21","","20","IEEE","28 Oct 2019","","","IEEE","IEEE Journals"
"Towards Cloud-Aware Vulnerability Assessments","K. A. Torkura; C. Meinel","Chair of Internet Technologies and Systems, University of Potsdam, Potsdam, Germany; Chair of Internet Technologies and Systems, University of Potsdam, Potsdam, Germany",2015 11th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS),"8 Feb 2016","2015","","","746","751","Vulnerability assessments are best practices for computer security and requirements for regulatory compliance. Potential and existing security holes can be identified during vulnerability assessments and security breaches could be averted. However, the unique nature of cloud computing environments requires more dynamic assessment techniques. The proliferation of cloud services and cloud-aware applications introduce more cloud vulnerabilities. But, current measures for identification, mitigation and prevention of cloud vulnerabilities do not suffice. Our investigations indicate a possible reason for this inefficiency to lapses in availability of precise, cloud vulnerability information. We observed also that most research efforts in the context of cloud vulnerability concentrate on IaaS, leaving other cloud models largely unattended. Similarly, most cloud assessment efforts tackle general cloud vulnerabilities rather than cloud specific vulnerabilities. Yet, mitigating cloud specific vulnerabilities is important for cloud security. Hence, this paper proposes a new approach that addresses the mentioned issues by monitoring, acquiring and adapting publicly available cloud vulnerability information for effective vulnerability assessments. We correlate vulnerability information from public vulnerability databases and develop Network Vulnerability Tests for specific cloud vulnerabilities. We have implemented, evaluated and verified the suitability of our approach.","","978-1-4673-9721-6","10.1109/SITIS.2015.63","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7400647","Cloud security;cloud vulnerabilities;vulnerability assessment;vulnerability information","Cloud computing;Security;Databases;Linux;Monitoring;Virtualization;NIST","","4","","29","IEEE","8 Feb 2016","","","IEEE","IEEE Conferences"
"Towards Cloud-Aware Policy Enforcement with Universal Cloud Classification as a Service (UCCaaS) in Software Defined Networks","S. Jeuk; G. Salgueiro; S. Zhou","UCL & Cisco Systems, Department of Computer Science, London, USA; Cisco Systems, Raleigh, USA; Department of Computer Science, University College London (UCL), London, UK",2016 IEEE 9th International Conference on Cloud Computing (CLOUD),"19 Jan 2017","2016","","","489","496","Network services are a critical component of today's networks. They apply critical functions (e.g. security, routing or quality of service) to traffic to enhance the network operators and application consumers experience. Today these services are inserted physically on the data-forwarding plane without providing much flexibility to deal with different traffic types or affiliations. Cloud Computing, however, demands policy enforcement on a per-Provider, per-Service and/or per-Tenant basis. In addition, there is an increasing need for dynamic transparent network chaining independent of the underlying transport infrastructure. We first introduce the concept of Universal Cloud Classification as a Service (UCCaaS). Followed by highlighting how it can be leveraged in conjunction with Network Service Headers (NSH) to address above challenges. UCC provides an addressing scheme to isolate traffic streams on a per-provider, per-service and/or per-tenant basis. To enable bi-directional policy enforcement in network functions we extend the UCC proposal by adding source and destination support. NSH is a way to steer network traffic dynamically across a set of network functions. We demonstrate the feasibility and advantages of our UCCaaS + NSH proposal with an example application, where a service chain defines Access Control Lists and traffic rate limiting on a per-Service and per-Tenant basis. Our proposal opens a door for a wide range of cloud-aware network services and functions.","2159-6190","978-1-5090-2619-7","10.1109/CLOUD.2016.0071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820308","Cloud Computing;SDN;Controller;Classification;XaaS;Universal Cloud Classification;Service Function Chain","Cloud computing;Proposals;Metadata;Security;Vehicle dynamics;Routing","","","4","20","IEEE","19 Jan 2017","","","IEEE","IEEE Conferences"
"A Web-based Orchestrator for Dynamic Service Function Chaining Development with Kubernetes","Z. Wang; A. Bittar; C. Huang; C. -H. Lung; G. Shami","Department of Computer and System Engineering, Carleton University, Ottawa, Canada; Department of Computer and System Engineering, Carleton University, Ottawa, Canada; Department of Computer and System Engineering, Carleton University, Ottawa, Canada; Department of Computer and System Engineering, Carleton University, Ottawa, Canada; External Research, Office of CTO Ciena Corporation, Ottawa, Canada",2022 IEEE 8th International Conference on Network Softwarization (NetSoft),"3 Aug 2022","2022","","","234","236","The research community has been moving attention from Virtual Network Function (VNF) to Cloud-native Network Function (CNF) since cloudification has brought the Network Function Virtualization (NFV) to an advanced level. It has already been demonstrated that cloud-native technology brings high flexibility and efficiency to large-scale network service deployment compared to the traditional VNF with Virtual Machines (VMs). However, more work is needed to provide a flexible and reliable Service Function Chaining (SFC) development solution in a cloud-native environment. This paper proposes a web-based orchestrator system to deploy an SFC use case consisting of multiple CNFs in a multi-node Kubernetes cluster using Network Service Mesh (NSM). We demonstrate a cloud-native SFC framework that allows users to dynamically create container-based SFC rather than the traditional VMs with NFV/SDN controller approach. Further, additional work is presented with the support of an open-source monitoring system, Prometheus, to validate the SFC path.","2693-9789","978-1-6654-0694-9","10.1109/NetSoft54395.2022.9844086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9844086","Cloud-native;Service Function Chaining;Network Service Mesh;Kubernetes;Prometheus","Cloud computing;Service function chaining;Conferences;Virtual machining;Network function virtualization;Reliability;Open source software","","6","","12","IEEE","3 Aug 2022","","","IEEE","IEEE Conferences"
"Heterogeneous Workflow Scheduling Algorithm","H. -Z. Wu; K. -C. Lai","Dept. of Computer Science, National Taichung University of Education, Taichung, ROC, Taichung, Taiwan; Dept. of Computer Science, National Taichung University of Education, Taichung, ROC, Taichung, Taiwan",2024 10th International Conference on Applied System Innovation (ICASI),"13 Jun 2024","2024","","","125","127","As cloud-native applications is more and more popular, job scheduling becomes an important issue. In a cloud-native environment, different jobs have different resource requirements and execution times, causing the efficiency of job scheduling to affect system performance. Therefore, job scheduling algorithms have to face several issues: 1. resource contention resulting from insufficient resource allocation to task groups in decentralized approaches, such as Apache Spark. 2. heterogeneous resource requirements of different jobs running in one computing node. 3. Communication overhead arising from parallel job execution. Therefore, this work proposes a workflow scheduling approach in cloud-native environments. The proposed approach is named as the Heterogeneous Workflow Scheduling Algorithm (HWS), which is a novel solution designed to tackle the complexities associated with task scheduling in cloud-native big data environments. HWS addresses the above issues to avoid the resource contention in group dependencies, and reduce the job execution time and the communication overhead. The proposed approach consists of two primary components: the job priority evaluation module and the job assignment module. Experimental results show that HWS outperforms two heuristic-based workflow scheduling algorithms, MPEFT and IPPTS, with improvements of 11.4% and 11.3% over MPEFT and IPPTS, respectively.","2768-4156","979-8-3503-9492-4","10.1109/ICASI60819.2024.10547825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547825","Workflow;Job Scheduling;Cloud Native;Container","Technological innovation;Scheduling algorithms;System performance;Simulation;Data transfer;Scheduling;Complexity theory","","","","7","IEEE","13 Jun 2024","","","IEEE","IEEE Conferences"
"A Security Containers Placement Algorithm Based on DQN for Microservices to Defend Against Co-Resident Threat","D. Zhou; H. Chen; G. Cheng","Institute of Information Technology Information Engineering, University, Zhengzhou, China; Institute of Information Technology Information Engineering, University, Zhengzhou, China; Institute of Information Technology Information Engineering, University, Zhengzhou, China",2023 8th International Conference on Computer and Communication Systems (ICCCS),"26 Jun 2023","2023","","","683","688","The weak isolation of lightweight containers has caused co-resident threat among cloud-native applications. The co-resident threat further spread based on microservice calls, which seriously threaten the security of other cloud-native applications. To solve this problem, this paper formally describes the propagation of container co-resident threats in cloud-native applications and optimizes the solution of the co-resident threats of cloud-native applications and the load balance, and proposes a DQN-based microservice container placement algorithm (MsCPA) to optimize the solution of the co-resident threats of cloud-native applications and the load balance. Simulation results show that the container placement algorithms in this paper reduce the co-resident threat propagation range by 18.06% on average with improving load balancing performance by 13.97%.","","978-1-6654-5612-8","10.1109/ICCCS57501.2023.10150672","Foundation of the National Natural Science Foundation of China(grant numbers:62072467); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150672","cloud-native application;container;microservice;co-resident","Deep learning;Simulation;Computational modeling;Microservice architectures;Reinforcement learning;Containers;Load management","","","","16","IEEE","26 Jun 2023","","","IEEE","IEEE Conferences"
"Acceleration-as-a-µService: A Cloud-native Monte-Carlo Option Pricing Engine on CPUs, GPUs and Disaggregated FPGAs","D. Diamantopoulos; R. Polig; B. Ringlein; M. Purandare; B. Weiss; C. Hagleitner; M. Lantz; F. Abel","IBM Research Europe, Rüschlikon, Switzerland; IBM Research Europe, Rüschlikon, Switzerland; IBM Research Europe, Rüschlikon, Switzerland; IBM Research Europe, Rüschlikon, Switzerland; IBM Research Europe, Rüschlikon, Switzerland; IBM Research Europe, Rüschlikon, Switzerland; IBM Research Europe, Rüschlikon, Switzerland; IBM Research Europe, Rüschlikon, Switzerland",2021 IEEE 14th International Conference on Cloud Computing (CLOUD),"8 Nov 2021","2021","","","726","729","The evolution of cloud applications into loosely-coupled microservices opens new opportunities for hardware accelerators to improve workload performance. Existing accelerator techniques for cloud sacrifice the consolidation benefits of microservices. This paper presents CloudiFi, a framework to deploy and compare accelerators as a cloud service. We evaluate our framework in the context of a financial workload and present early results indicating up to 485 x gains in microservice response time.","2159-6190","978-1-6654-0060-2","10.1109/CLOUD53861.2021.00096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582168","Hybrid Cloud;Finance;GPU;FPGA","Cloud computing;Monte Carlo methods;Conferences;Graphics processing units;Pricing;Time factors;Wrapping","","4","","16","IEEE","8 Nov 2021","","","IEEE","IEEE Conferences"
"QMP: A Cloud-native MLOps Automation Platform for Zero-Touch Service Assurance in 5G Systems","G. Samaras; V. Theodorou; D. Laskaratos; N. Psaromanolakis; M. Mertiri; A. Valantasis","Intracom Telecom, Greece; Intracom Telecom, Greece; Intracom Telecom, Greece; Intracom Telecom, Greece; Intracom Telecom, Greece; Intracom Telecom, Greece",2022 IEEE International Mediterranean Conference on Communications and Networking (MeditCom),"2 Nov 2022","2022","","","86","89","In this paper we present QMP—an AI-driven platform for proactively assuring Network Slices' Quality of Service (QoS)— and a demo of its MLOps automation features applied on vCDN Slices at the network edge.","","978-1-6654-9825-8","10.1109/MeditCom55741.2022.9928678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928678","","Automation;5G mobile communication;Quality of service","","3","","6","IEEE","2 Nov 2022","","","IEEE","IEEE Conferences"
"Towards a Cloud-Native 5G Service Chaining for IoT and Video Analytics in Smart Campus","R. Mohamed; S. Zemouri","Innovation Exchange (IIX), IBM Lab, Ireland; Innovation Exchange (IIX), IBM Lab, Ireland",2022 5th Conference on Cloud and Internet of Things (CIoT),"9 May 2022","2022","","","186","188","Providing ubiquitous fifth-generation (5G) connectivity is very appealing to advance a wide range of use cases and industry verticals. However, it is expected that the ultimate capability of 5G networks will only be achievable by a blend of technologies centered around 5G to fulfil the needs for different verticals and use cases. In this regard, this paper presents the key requirements to collectively leverage 5G, artificial intelligence, and cloud computing technologies to enable a smart campus/buildings use case. A comprehensive framework is first presented showing the key enabler constituents of this use case, ranging from the network to cloud and application domains interconnected in a 5G testbed. The description of the individual components in the 5G testbed is then explained. Key technical challenges pertaining to smart campus/buildings use case are then discussed, and potential research directions are outlined.","","978-1-6654-7964-6","10.1109/CIoT53061.2022.9766805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9766805","5G core;new radio;orchestration;virtualization;analytics;artificial intelligence","Industries;Computers;Cloud computing;5G mobile communication;Visual analytics;Distance measurement;Internet of Things","","2","","11","IEEE","9 May 2022","","","IEEE","IEEE Conferences"
"BlueShift: Automated application transformation to Cloud Native architectures","M. Vukovic; J. Hwang; J. Rofrano; N. Anerousis","IBM Research, Yorktown Heights, NY; IBM Research, Yorktown Heights, NY; IBM Research, Yorktown Heights, NY; IBM Research, Yorktown Heights, NY",2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM),"24 Jul 2017","2017","","","778","792","Presented BlueShift: Self-service for orchestrating automated tasks (via APIs) and human tasks for end-to-end transformation process including, application discovery, analysis, artifact transformation and enablement of cloud value-add services. Demonstrated transformation process for PlantsByWebSphere application, with Liberty Profile runtime as a target in BlueMix (cloud-foundry based platform). Discussed challenges arising in transformation from application complexity and non-functional requirements.","","978-3-901882-89-0","10.23919/INM.2017.7987377","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7987377","","Cloud computing;Manuals;Runtime;Pipelines;Organizations;Testing;Containers","","1","","6","","24 Jul 2017","","","IEEE","IEEE Conferences"
"A Design of Network Mobility Management on Cloud Native Tactical Edge Cloud","H. Lim; Y. Kim","School of Eletronic Engineering, Soongsil University, Seoul, Republic of Korea; School of Eletronic Engineering, Soongsil University, Seoul, Republic of Korea",2022 International Conference on Information Networking (ICOIN),"26 Jan 2022","2022","","","168","170","Edge computing technology can effectively provide low-latency services and distribute traffic within the network by placing virtualization services in cloud servers close to user access. When edge computing is applied compared to commercial networks in a tactical network environment with resource constraints such as link bandwidth, tactical services can be provided stably and efficiently, and thus related research is being worked. However, in a tactical network in which the network topology changes, the current edge computing technology has difficulty in satisfying the functions required for service continuity according to network mobility. In addition, the current tactical network, which is designed based on virtual machines, is far from a tactical network environment in which requires minimization of service disruption time. In this paper, we propose container based tactical edge cloud and define method for support service continuity due to the mobility of the tactical network.","1976-7684","978-1-6654-1332-9","10.1109/ICOIN53446.2022.9687220","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687220","Tactical Network;Edge Computing;Container;Network Mobility","Cloud computing;Network topology;Bandwidth;Containers;Minimization;Virtual machining;Servers","","1","","8","IEEE","26 Jan 2022","","","IEEE","IEEE Conferences"
"Architecting Cloud-Native Optical Network with Whitebox Equipment","H. Nishizawa","NTT Network Innovation Labs., NTT Corporation, Yokosuka, Kanagawa, Japan",2020 Optical Fiber Communications Conference and Exhibition (OFC),"4 May 2020","2020","","","1","3","A flexible and open mean of implementing an optical network by using whitebox equipment with the Transponder Abstraction Interface is proposed. Examples of automation and monitoring device/performance information using an open transport platform are described.","","978-1-9435-8071-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9083165","","","","","","5","","4 May 2020","","","IEEE","IEEE Conferences"
"A cloud-native framework for globally distributed capture and analysis of Internet Background Radiation","F. Bortoluzzi; B. Irwin; C. M. Westphall","Department of Applied Computing, Noroff University College, Kristiansand, Norway; Department of Applied Computing, Noroff University College, Kristiansand, Norway; Postgraduate Programme in Computer Science, Federal University of Santa Catarina, Florianoópolis, Brazil",2023 18th Iberian Conference on Information Systems and Technologies (CISTI),"15 Aug 2023","2023","","","1","4","Among the existing methods for analysing internet traffic, one focuses on unsolicited and often harmful packets, referred to as Internet Background Radiation (IBR). IBR data can be captured by using cloud-based computing instances to listen for incoming packets and recording the received headers and contents in files using the PCAP format. No services are run on these hosts so all traffic can be regarded as non-legitimate. This work presents the research plan for capturing a year-long sample of the IBR arriving to up to 1500 geographically distributed sensors across a major service cloud provider. In combination with collection, a data analysis pipeline will be constructed to enable the querying of most relevant quantitative and qualitative aspects of the resulting dataset. The ultimate goal is to answer “how is the IBR characterised when captured within the context of cloud computing?”. Results will include packet distribution according to the properties of the network, transport, and application layers, together with an evaluation of traffic linking to botnet activity such as Mirai and Moobot.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211290","internet background radiation;network telescope;network packet analysis;cloud computing","Cloud computing;Data analysis;Pipelines;Buildings;Focusing;Sensor phenomena and characterization;Data models","","","","16","","15 Aug 2023","","","IEEE","IEEE Conferences"
